label,area,macroarea,depth,side,full_name
0,background,,,,
1,precentral_L,frontal,cortex,L,left precentral gyrus
2,precentral_R,frontal,cortex,R,right precentral gyrus
3,frontal_sup_L,frontal,cortex,L,left superior frontal gyrus
4,frontal_sup_R,frontal,cortex,R,right superior frontal gyrus
5,frontal_sup_orb_L,frontal,cortex,L,left superior frontal gyrus (orbital part)
6,frontal_sup_orb_R,frontal,cortex,R,right superior frontal gyrus (orbital part)
7,frontal_mid_L,frontal,cortex,L,left middle frontal gyrus
8,frontal_mid_R,frontal,cortex,R,right middle frontal gyrus
9,frontal_mid_orb_L,frontal,cortex,L,left middle frontal gyrus (orbital part)
10,frontal_mid_orb_R,frontal,cortex,R,right middle frontal gyrus (orbital part)
11,frontal_inf_oper_L,frontal,cortex,L,left inferior frontal gyrus (opercular part)
12,frontal_inf_oper_R,frontal,cortex,R,right inferior frontal gyrus (opercular part)
13,frontal_inf_tri_L,frontal,cortex,L,left inferior frontal gyrus (triangular part)
14,frontal_inf_tri_R,frontal,cortex,R,right inferior frontal gyrus (triangular part)
15,frontal_inf_orb_L,frontal,cortex,L,left inferior frontal gyrus (orbital part)
16,frontal_inf_orb_R,frontal,cortex,R,right inferior frontal gyrus (orbital part)
17,rolandic_oper_L,frontal,cortex,L,left rolandic operculum
18,rolandic_oper_R,frontal,cortex,R,right rolandic operculum
19,supp_motor_area_L,frontal,cortex,L,left supplementary motor area
20,supp_motor_area_R,frontal,cortex,R,right supplementary motor area
21,olfactory_L,frontal,cortex,L,left olfactory cortex
22,olfactory_R,frontal,cortex,R,right olfactory cortex
23,frontal_sup_medial_L,frontal,cortex,L,left medial superior frontal gyrus
24,frontal_sup_medial_R,frontal,cortex,R,right medial superior frontal gyrus
25,frontal_med_orb_L,frontal,cortex,L,left medial orbital frontal gyrus
26,frontal_med_orb_R,frontal,cortex,R,right medial orbital frontal gyrus
27,rectus_L,frontal,cortex,L,left gyrus rectus
28,rectus_R,frontal,cortex,R,right gyrus rectus
29,insula_L,insular,cortex,L,left insula
30,insula_R,insular,cortex,R,right insula
31,cingulum_ant_L,frontal,cortex,L,left anterior cingulate gyrus
32,cingulum_ant_R,frontal,cortex,R,right anterior cingulate gyrus
33,cingulum_mid_L,frontal,cortex,L,left middle cingulate gyrus
34,cingulum_mid_R,frontal,cortex,R,right middle cingulate gyrus
35,cingulum_post_L,parietal,cortex,L,left posterior cingulate gyrus
36,cingulum_post_R,parietal,cortex,R,right posterior cingulate gyrus
37,hippocampus_L,temporal,cortex,L,left hippocampus
38,hippocampus_R,temporal,cortex,R,right hippocampus
39,parahippocampal_L,temporal,cortex,L,left parahippocampal gyrus
40,parahippocampal_R,temporal,cortex,R,right parahippocampal gyrus
41,amygdala_L,temporal,cortex,L,left amygdala
42,amygdala_R,temporal,cortex,R,right amygdala
43,calcarine_L,occipital,cortex,L,left calcarine cortex
44,calcarine_R,occipital,cortex,R,right calcarine cortex
45,cuneus_L,occipital,cortex,L,left cuneus
46,cuneus_R,occipital,cortex,R,right cuneus
47,lingual_L,occipital,cortex,L,left lingual gyrus
48,lingual_R,occipital,cortex,R,right lingual gyrus
49,occipital_sup_L,occipital,cortex,L,left superior occipital gyrus
50,occipital_sup_R,occipital,cortex,R,right superior occipital gyrus
51,occipital_mid_L,occipital,cortex,L,left middle occipital gyrus
52,occipital_mid_R,occipital,cortex,R,right middle occipital gyrus
53,occipital_inf_L,occipital,cortex,L,left inferior occipital gyrus
54,occipital_inf_R,occipital,cortex,R,right inferior occipital gyrus
55,fusiform_L,temporal,cortex,L,left fusiform gyrus
56,fusiform_R,temporal,cortex,R,right fusiform gyrus
57,postcentral_L,parietal,cortex,L,left postcentral gyrus
58,postcentral_R,parietal,cortex,R,right postcentral gyrus
59,parietal_sup_L,parietal,cortex,L,left superior parietal gyrus
60,parietal_sup_R,parietal,cortex,R,right superior parietal gyrus
61,parietal_inf_L,parietal,cortex,L,left inferior parietal lobule
62,parietal_inf_R,parietal,cortex,R,right inferior parietal lobule
63,supramarginal_L,parietal,cortex,L,left supramarginal gyrus
64,supramarginal_R,parietal,cortex,R,right supramarginal gyrus
65,angular_L,parietal,cortex,L,left angular gyrus
66,angular_R,parietal,cortex,R,right angular gyrus
67,precuneus_L,parietal,cortex,L,left precuneus
68,precuneus_R,parietal,cortex,R,right precuneus
69,paracentral_Lobule_L,parietal,cortex,L,left paracentral lobule
70,paracentral_Lobule_R,parietal,cortex,R,right paracentral lobule
71,caudate_L,caudate,basal_nuclei,L,left caudate nucleus
72,caudate_R,caudate,basal_nuclei,R,right caudate nucleus
73,putamen_L,lentiform_nuclei,basal_nuclei,L,left putamen
74,putamen_R,lentiform_nuclei,basal_nuclei,R,right putamen
75,pallidum_L,lentiform_nuclei,basal_nuclei,L,left globus pallidus
76,pallidum_R,lentiform_nuclei,basal_nuclei,R,right globus pallidus
77,thalamus_L,thalamus,basal_nuclei,L,left thalamus
78,thalamus_R,thalamus,basal_nuclei,R,right thalamus
79,heschl_L,temporal,cortex,L,left Heschl's gyrus
80,heschl_R,temporal,cortex,R,right Heschl's gyrus
81,temporal_sup_L,temporal,cortex,L,left superior temporal gyrus
82,temporal_sup_R,temporal,cortex,R,right superior temporal gyrus
83,temporal_pole_sup_L,temporal,cortex,L,left superior temporal pole
84,temporal_pole_sup_R,temporal,cortex,R,right superior temporal pole
85,temporal_mid_L,temporal,cortex,L,left middle temporal gyrus
86,temporal_mid_R,temporal,cortex,R,right middle temporal gyrus
87,temporal_pole_mid_L,temporal,cortex,L,left middle temporal pole
88,temporal_pole_mid_R,temporal,cortex,R,right middle temporal pole
89,temporal_inf_L,temporal,cortex,L,left inferior temporal gyrus
90,temporal_inf_R,temporal,cortex,R,right inferior temporal gyrus
91,cerebelum_crus1_L,cerebellum,cortex,L,left cerebellar crus 1
92,cerebelum_crus1_R,cerebellum,cortex,R,right cerebellar crus i
93,cerebelum_crus2_L,cerebellum,cortex,L,left cerebellar crus 2
